"模型","檔名","結果","嚴重度代碼","分類","稽核訊息","位置","問題數","明細序號","明細"
"AI extraction","AI_extraction.xlsx","通過","pass","結構","35 欄名稱與順序符合 Skill。","主表!1:1","","",""
"AI extraction","AI_extraction.xlsx","通過","pass","結構","必要工作表完整。","","0","",""
"AI extraction","AI_extraction.xlsx","通過","pass","標頭顏色","標頭分類色符合 Skill。","主表!1:1","0","",""
"AI extraction","AI_extraction.xlsx","通過","pass","欄位規則","SMILES 字串格式不合理：未發現。","C","0","",""
"AI extraction","AI_extraction.xlsx","通過","pass","欄位規則","真正二元欄含非 0/1 值：未發現。","D、M、W:AC","0","",""
"AI extraction","AI_extraction.xlsx","通過","pass","欄位規則","溶劑欄含超出 0–1 的分率：未發現。","E:K","0","",""
"AI extraction","AI_extraction.xlsx","不符合","error","欄位規則","溶劑比例加總不等於 1：5 筆。","E:K","5","1","第 10 列（13-NiOx(control)）：溶劑總和=0.000000；ethanol=0、toluene=0、IPA=0、THF=0、chlorobenzene=0、2-Methoxyethanol=0、CH2CL2=0"
"AI extraction","AI_extraction.xlsx","不符合","error","欄位規則","溶劑比例加總不等於 1：5 筆。","E:K","5","2","第 20 列（35-BrNH3-4PACz(champion,reverse)）：溶劑總和=0.500000；ethanol=0.5、toluene=0、IPA=0、THF=0、chlorobenzene=0、2-Methoxyethanol=0、CH2CL2=0"
"AI extraction","AI_extraction.xlsx","不符合","error","欄位規則","溶劑比例加總不等於 1：5 筆。","E:K","5","3","第 34 列（SI-2-BCB-C4PA(DSA,champion)）：溶劑總和=0.000000；ethanol=0、toluene=0、IPA=0、THF=0、chlorobenzene=0、2-Methoxyethanol=0、CH2CL2=0"
"AI extraction","AI_extraction.xlsx","不符合","error","欄位規則","溶劑比例加總不等於 1：5 筆。","E:K","5","4","第 35 列（SI-2-CZ-C4PA(DSA)）：溶劑總和=0.000000；ethanol=0、toluene=0、IPA=0、THF=0、chlorobenzene=0、2-Methoxyethanol=0、CH2CL2=0"
"AI extraction","AI_extraction.xlsx","不符合","error","欄位規則","溶劑比例加總不等於 1：5 筆。","E:K","5","5","第 66 列（SI-19-NiOx(control)）：溶劑總和=0.000000；ethanol=0、toluene=0、IPA=0、THF=0、chlorobenzene=0、2-Methoxyethanol=0、CH2CL2=0"
"AI extraction","AI_extraction.xlsx","不符合","error","欄位規則","X-site 比例偏離 1 且 Notes 未說明：3 筆。","T:V","3","1","第 84 列 I+Br+CL：0.9848+0+0.0333；Notes 未說明過量、缺量或未設欄位成分"
"AI extraction","AI_extraction.xlsx","不符合","error","欄位規則","X-site 比例偏離 1 且 Notes 未說明：3 筆。","T:V","3","2","第 85 列 I+Br+CL：0.9848+0+0.0333；Notes 未說明過量、缺量或未設欄位成分"
"AI extraction","AI_extraction.xlsx","不符合","error","欄位規則","X-site 比例偏離 1 且 Notes 未說明：3 筆。","T:V","3","3","第 86 列 I+Br+CL：0.9848+0+0.0333；Notes 未說明過量、缺量或未設欄位成分"
"AI extraction","AI_extraction.xlsx","通過","pass","欄位規則","PCE 缺失或超出 0–35%：未發現。","AD","0","",""
"AI extraction","AI_extraction.xlsx","通過","pass","欄位規則","E 非數值或超出 −0.7–1.0 eV：未發現。","N","0","",""
"AI extraction","AI_extraction.xlsx","通過","pass","欄位規則","DOI 格式異常：未發現。","AE","0","",""
"AI extraction","AI_extraction.xlsx","不符合","error","欄位規則","相同 SMILES＋26 特徵出現不同 PCE：11 筆。","主表","11","1","第 11、12 列：相同特徵但 PCE 為 24.8／24"
"AI extraction","AI_extraction.xlsx","不符合","error","欄位規則","相同 SMILES＋26 特徵出現不同 PCE：11 筆。","主表","11","2","第 11、13 列：相同特徵但 PCE 為 24.8／23.1"
"AI extraction","AI_extraction.xlsx","不符合","error","欄位規則","相同 SMILES＋26 特徵出現不同 PCE：11 筆。","主表","11","3","第 14、15 列：相同特徵但 PCE 為 21.41／23.13"
"AI extraction","AI_extraction.xlsx","不符合","error","欄位規則","相同 SMILES＋26 特徵出現不同 PCE：11 筆。","主表","11","4","第 14、16 列：相同特徵但 PCE 為 21.41／23.54"
"AI extraction","AI_extraction.xlsx","不符合","error","欄位規則","相同 SMILES＋26 特徵出現不同 PCE：11 筆。","主表","11","5","第 14、17 列：相同特徵但 PCE 為 21.41／22.13"
"AI extraction","AI_extraction.xlsx","不符合","error","欄位規則","相同 SMILES＋26 特徵出現不同 PCE：11 筆。","主表","11","6","第 21、22 列：相同特徵但 PCE 為 24.7／25.5"
"AI extraction","AI_extraction.xlsx","不符合","error","欄位規則","相同 SMILES＋26 特徵出現不同 PCE：11 筆。","主表","11","7","第 21、23 列：相同特徵但 PCE 為 24.7／26.2"
"AI extraction","AI_extraction.xlsx","不符合","error","欄位規則","相同 SMILES＋26 特徵出現不同 PCE：11 筆。","主表","11","8","第 28、29 列：相同特徵但 PCE 為 24.12／26.27"
"AI extraction","AI_extraction.xlsx","不符合","error","欄位規則","相同 SMILES＋26 特徵出現不同 PCE：11 筆。","主表","11","9","第 34、35 列：相同特徵但 PCE 為 22.2／18.2"
"AI extraction","AI_extraction.xlsx","不符合","error","欄位規則","相同 SMILES＋26 特徵出現不同 PCE：11 筆。","主表","11","10","第 73、74 列：相同特徵但 PCE 為 13.19／11.11"
"AI extraction","AI_extraction.xlsx","不符合","error","欄位規則","相同 SMILES＋26 特徵出現不同 PCE：11 筆。","主表","11","11","第 96、97 列：相同特徵但 PCE 為 16.44／20.13"
"AI extraction","AI_extraction.xlsx","通過","pass","可信度顏色","所有紅格列都有 Notes。","AI","0","",""
"AI extraction","AI_extraction.xlsx","通過","pass","可信度顏色","黑列的 26 特徵標色符合規則。","D:AC","0","",""
"AI extraction","AI_extraction.xlsx","通過","pass","追蹤性","Data_status 與缺值狀態基本一致。","AH","0","",""
